area,perimeter,defect_count,finger_count,centroid_x,centroid_y,aspect_ratio,solidity,label
273335.5,4471.505824327469,8,9,955,432,1.1543307086614174,0.7476589115904904,1
272584.5,4687.044926524162,7,8,955,432,1.1579778830963665,0.7487155611771928,1
270883.0,5214.140379309654,8,9,955,432,1.162162162162162,0.7224538836666903,1
270013.5,4539.020543932915,7,8,957,432,1.1589825119236883,0.7405258567730045,1
270696.5,5049.32919883728,8,9,956,431,1.1741214057507987,0.7267059151995447,1
267974.0,4692.317005872726,8,9,958,432,1.1634615384615385,0.7359375600753585,1
488637.5,9786.984298229218,8,9,647,424,1.8497109826589595,0.6415419720846939,1
489887.0,9117.379178762436,8,9,648,423,1.8658892128279883,0.6463272885593472,1
265403.5,4436.677397251129,7,8,960,432,1.1655948553054662,0.7463372590042968,1
264201.0,4750.944422483444,7,8,961,433,1.1655948553054662,0.7405618662536877,1
263997.0,4506.434756994247,7,8,962,433,1.1661290322580644,0.7456352305352394,1
262380.5,4795.0449295043945,7,8,963,432,1.1594202898550725,0.7403586096363819,1
262247.0,4594.375881433487,8,9,965,431,1.1463022508038585,0.7303099501517726,1
260019.0,4445.405321121216,7,8,969,431,1.1364365971107544,0.7503917624548716,1
264920.0,3929.498683333397,8,9,972,432,1.125,0.7596588245246039,1
261251.5,4093.824586391449,8,9,975,434,1.1152,0.7547349414993499,1
483928.5,8686.685744285583,7,8,655,424,2.028526148969889,0.6558878699740588,1
259674.0,4018.6113815307617,7,8,977,435,1.1064516129032258,0.7760474102764106,1
261544.5,4300.049980640411,7,8,974,433,1.184168012924071,0.7453024016596186,1
261460.0,4091.523069024086,8,9,975,433,1.1511254019292605,0.7535326345398424,1
261199.5,4120.393126010895,7,8,975,432,1.1610305958132046,0.7470110207215878,1
485543.5,8796.710128068924,8,9,653,423,1.855072463768116,0.6360817989480372,1
260481.0,4082.694641470909,8,9,977,433,1.0865384615384615,0.7631443253663653,1
259529.0,3787.64081966877,7,8,979,434,1.088282504012841,0.7843587035198508,1
258974.5,3647.9423345327377,7,8,979,434,1.086677367576244,0.782217154593713,1
259096.0,3758.3271104097366,7,8,979,435,1.0832,0.783070190285065,1
261657.0,3996.0672266483307,8,9,976,433,1.0865384615384615,0.7658862631516554,1
262086.5,3915.1971683502197,8,9,976,433,1.0913461538461537,0.7635562987899296,1
484611.0,8333.472542524338,8,9,655,424,1.9047619047619047,0.6392125438986991,1
261269.0,3808.670257806778,8,9,977,433,1.0848,0.773716575283441,1
261969.5,3842.2266063690186,8,9,976,432,1.0926517571884984,0.7613411626916834,1
261569.0,3903.4398087263107,8,9,977,432,1.0779014308426074,0.7759665131953674,1
262551.0,3932.126101255417,8,9,977,431,1.073015873015873,0.7681331991433688,1
484322.5,8724.626873135567,8,9,654,423,1.8523878437047756,0.6300634132031375,1
264335.0,4196.552507758141,7,8,974,430,1.1870047543581617,0.7363440608608207,1
261518.5,3682.3687405586243,7,8,978,432,1.0729001584786053,0.7827247069105363,1
263048.0,3947.9250906705856,7,8,976,431,1.1592356687898089,0.7462513386809648,1
260908.5,3736.2266050577164,7,8,978,433,1.0780254777070064,0.7837055237574587,1
261403.5,3657.1139073371887,7,8,978,434,1.0814696485623003,0.7870292452418336,1
257270.5,4007.623574614525,7,8,977,433,1.0848,0.7780244139576589,1
259701.0,4391.606328964233,7,8,974,431,1.202572347266881,0.72950846150713,1
258499.5,4268.049979925156,8,9,975,433,1.1028938906752412,0.7559923844952535,1
257540.5,4087.623576283455,7,8,977,433,1.090032154340836,0.7761498773423986,1
256775.5,4031.623574733734,7,8,977,433,1.090032154340836,0.7805011125025837,1
259011.0,4495.062171816826,7,8,973,431,1.1881028938906752,0.7386027598046065,1
256883.5,4154.937282919884,7,8,977,432,1.085209003215434,0.7778820807638208,1
258266.0,4413.606329917908,7,8,975,431,1.1658615136876007,0.7413884419463507,1
